"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"June 18, 2018",Ohio,Cleveland,"2710 block of Cedar Ave",0,1,N/A
"June 17, 2018",Tennessee,Knoxville,"7000 block of Hammer Rd",0,1,N/A
"June 16, 2018","New Hampshire",Litchfield,"200 block of Charles Bancroft Hwy",0,1,N/A
"June 15, 2018",California,"Mammoth Lakes","Antelope Springs Rd",0,1,N/A
"June 12, 2018",Virginia,Henrico,"0 block of Craighill Rd",0,1,N/A
"June 12, 2018",Georgia,Dallas,"216 Recreation Dr",0,1,N/A
"June 12, 2018",Illinois,Chicago,"4700 block of W Cermak Rd",0,0,N/A
"June 10, 2018",Alabama,"Birmingham (Homewood)","900 block of Mansard Drive",0,1,N/A
"June 7, 2018",Florida,Orlando,"S Orange Ave",0,1,N/A
"June 6, 2018",Georgia,Albany,"2719 Pointe N Blvd",0,1,N/A
"June 5, 2018",Washington,Everett,"17 W Casino Rd",0,1,N/A
"June 5, 2018",Texas,Borger,"TX 207 and Franklin St",1,1,N/A
"June 5, 2018",Massachusetts,Lynn,"48 Brimblecom St",0,1,N/A
"June 4, 2018",Washington,Yakima,"6900 block of Ahtanum Rd",0,1,N/A
"June 2, 2018",Mississippi,Meridian,"2100 block of 43rd Ave",0,1,N/A
"June 1, 2018",Louisiana,Plaquemine,"Sherburne St",0,1,N/A
"May 31, 2018","North Carolina",Greenville,"3000 S Memorial Dr",0,1,N/A
"May 31, 2018",Indiana,"South Bend","500 block of Carroll St",0,1,N/A
"May 28, 2018",Louisiana,Shreveport,"3700 block of Hardy St",0,0,N/A
"May 26, 2018","West Virginia",Charleston,"1300 block of Stuart St",0,1,N/A
"May 25, 2018",Florida,Bradenton,"600 block of 64th Ave E",0,1,N/A
"May 25, 2018","South Carolina","Mc Bee (Mcbee)","Union Hill School Rd",0,1,N/A
"May 24, 2018",Ohio,Minford,"Warren Hill Rd",0,1,N/A
"May 24, 2018",Louisiana,Monroe,"1101 Richwood Rd",0,1,N/A
"May 20, 2018",Minnesota,Brainerd,"1400 block of Norwood St",0,1,N/A
"May 19, 2018",Louisiana,Shreveport,"3900 block of Velva St",0,1,N/A
"May 15, 2018",Iowa,Stuart,"600 block of SW 7th St",0,1,N/A
"May 15, 2018",Indiana,Gary,"Indian Boundary and N Wells St",0,1,N/A
"May 11, 2018",Massachusetts,Lawrence,"Center St",0,1,N/A
"May 5, 2018",Virginia,Fredericksburg,"2352 Cowan Blvd",0,1,N/A
"May 4, 2018",Mississippi,Meridian,"2015 Mosby Rd",0,1,N/A
"April 29, 2018",California,"Morgan Hill","100 Cochrane Rd",0,1,N/A
"April 29, 2018",Florida,Jacksonville,"Playschool Ln",0,1,N/A
"April 27, 2018","North Carolina",Lumberton,N/A,0,1,N/A
"April 27, 2018","North Carolina",Lumberton,"Pearl St",0,1,N/A
"April 22, 2018",Alaska,Anchorage,"8800 block of McClellan Cir",0,1,N/A
"April 22, 2018",Florida,Ocala,"1240 SE Highway 484",0,3,N/A
"April 19, 2018",Tennessee,Memphis,"3347 Dawn Dr",0,1,N/A
"April 16, 2018",Kansas,Wichita,"800 block of N Battin St",0,1,N/A
"April 15, 2018",Indiana,"Fort Wayne","2700 block of Chestnut St",1,1,N/A
"April 9, 2018",Texas,Stephenville,"N Dale St",0,1,N/A
"April 6, 2018","District of Columbia",Washington,"707 7th St NW",0,1,N/A
"April 1, 2018",Louisiana,Eunice,N/A,0,1,N/A
"March 30, 2018",California,"Montgomery Creek","Hwy 299 and Big Bend Rd",0,1,N/A
"March 27, 2018","South Carolina",Clio,"Woods Ave",0,1,N/A
"March 25, 2018",Alabama,Tuscaloosa,"3200 block of 23rd St",0,1,N/A
"March 22, 2018",Mississippi,Oxford,"142 County Road 104",0,1,N/A
"March 17, 2018",Illinois,Oreana,"200 block of S View St",0,2,N/A
"March 17, 2018",Arizona,Payson,"910 S Beeline Hwy",0,1,N/A
"March 13, 2018",Ohio,Cincinnati,"200 block of Strader Avenue",0,1,N/A
"March 13, 2018",California,Seaside,"2200 Noche Buena St",0,1,N/A
"March 12, 2018",Texas,Beaumont,"1300 block of Loop Rd",0,1,N/A
"March 12, 2018",Mississippi,Edwards,"4553 MS 467",0,1,N/A
"March 10, 2018",Alabama,Ozark,"King Ave",0,2,N/A
"March 9, 2018",Kentucky,Lexington,"2000 Winchester Rd",0,1,N/A
"March 8, 2018",Kansas,Lawrence,"600 block of North St",0,1,N/A
"March 7, 2018",Alabama,Birmingham,"950 Springville Rd",1,2,N/A
"March 5, 2018",Louisiana,"New Orleans","5600 Lafaye St",0,1,N/A
"March 4, 2018",Louisiana,Shreveport,"3410 Jackson Street",0,1,N/A
"March 2, 2018",Illinois,Rockford,N/A,0,1,N/A
"February 28, 2018",Indiana,Evansville,"Haven Dr",0,1,N/A
"February 28, 2018",Texas,"Corpus Christi","2700 block of Waldron Rd",0,1,N/A
"February 22, 2018",Oklahoma,Tulsa,"S 131st E Ave and E 31st St",0,1,N/A
"February 17, 2018",Tennessee,Memphis,"3456 Lamar Ave",0,1,N/A
"February 16, 2018",Tennessee,Humboldt,"N 18th St",0,1,N/A
"February 16, 2018",Ohio,Canton,"5600 block of Frank Ave NW",0,1,N/A
"February 16, 2018",Louisiana,Shreveport,"2400 block of Jones Mabry Rd",0,1,N/A
"February 15, 2018",Texas,Arlington,"4721 S Cooper St",0,1,N/A
"February 14, 2018",Arkansas,Pearcy,"400 block of Ryan Rd",0,1,N/A
"February 12, 2018",Alabama,Birmingham,"5001 Sugar Ray Dr",0,2,N/A
"February 12, 2018",Illinois,Chicago,"5200 S Morgan St",0,2,N/A
"February 7, 2018",Texas,"San Marcos","Hutchinson St and Moon St",0,1,N/A
"February 5, 2018",Illinois,Chicago,"4600 S Ellis Ave",0,1,N/A
"February 5, 2018",Michigan,Flint,"5000 block of Highwood Dr",0,1,N/A
"February 4, 2018",Texas,Texarkana,N/A,0,1,N/A
"February 1, 2018",California,"Los Angeles","1575 W 2nd St",0,2,N/A
"January 31, 2018",Texas,Converse,"103 Sixth Street",0,2,N/A
"January 29, 2018",Nevada,"Carson City","3400 block of Airport Rd",0,1,N/A
"January 28, 2018",Kentucky,"Louisville (Jeffersontown)","4600 block of Saratoga Hills Rd",0,1,N/A
"January 28, 2018","New Jersey","Jersey City","57 Dales Ave",0,1,N/A
"January 27, 2018",Maine,Lewiston,N/A,0,1,N/A
"January 27, 2018",Pennsylvania,Easton,"50 block of S 14th St",0,1,N/A
"January 27, 2018",Pennsylvania,Stoneboro,"600 block of Anderson Road",0,1,N/A
"January 27, 2018","New Jersey",Vineland,"3400 block of E Oak Rd",0,1,N/A
"January 26, 2018",Utah,Sandy,"100 W Palmer Way",0,1,N/A
"January 26, 2018",Kentucky,Louisville,"7000 block of Wildwood Cir",0,1,N/A
"January 26, 2018",Mississippi,Natchez,"109 N Temple Rd",0,1,N/A
"January 25, 2018",Tennessee,Memphis,"1308 Union Ave",0,1,N/A
"January 25, 2018",Wisconsin,Livingston,"W Co Rd E",0,1,N/A
"January 24, 2018",Florida,Bartow,"1150 E Davidson St",0,1,N/A
"January 21, 2018",Texas,"Corpus Christi","800 block of West Point Rd",0,1,N/A
"January 20, 2018","West Virginia",Midway,"473 Coal City Rd",0,1,N/A
"January 17, 2018",Arkansas,"Mountain Home","Johns Dr",0,1,N/A
"January 15, 2018",Florida,Niceville,"Friar Tuck Dr",0,1,N/A
"January 14, 2018","North Carolina",Charlotte,"2000 Block of Cairns Mill Ct",0,1,N/A
"January 14, 2018","New York",Brooklyn,"965 Hegeman St",0,1,N/A
"January 14, 2018",Arkansas,"Little Rock",N/A,0,1,N/A
"January 14, 2018",Ohio,Dayton,"500 block of Brightwood Ave",0,1,N/A
"January 12, 2018",Wisconsin,"Crawford (county)",N/A,0,1,N/A
"January 11, 2018",Florida,Longwood,"Meadow Creek Cove",0,1,N/A
"January 8, 2018",Colorado,"Grand Junction","2800 block of Hill Ave",0,1,N/A
"January 8, 2018",Illinois,Oregon,"408 W Washington St",0,1,N/A
"January 8, 2018",Louisiana,Shreveport,"2619 Merwin Street",0,1,N/A
"January 7, 2018",Virginia,Richmond,"5700 block of Westover Village Drive",0,1,N/A
"January 6, 2018",Florida,"Daytona Beach","1228 Leon Ln",0,1,N/A
"January 5, 2018",Texas,Houston,"8125 Mills Rd",0,1,N/A
"January 1, 2018",Mississippi,Jackson,"Longwood Drive",0,1,N/A
"December 29, 2017",Georgia,Atlanta,"2727 Godby Rd",0,1,N/A
"December 27, 2017",Alabama,Mobile,"600 block of Halifax Drive",0,1,N/A
"December 22, 2017",Missouri,"Kansas City","1900 E 83rd Terrace",0,1,N/A
"December 21, 2017",Pennsylvania,Chester,"2100 block of W 9th St",0,1,N/A
"December 18, 2017",Indiana,Hammond,"6800 Carolina Ave",0,1,N/A
"December 14, 2017",California,Fresno,"1490 S Chestnut Ave",0,1,N/A
"December 14, 2017",Missouri,Faucett,"14000 block of SE 45th Rd",0,1,N/A
"December 13, 2017","South Dakota",Scotland,"42805 Maxwell Rd",0,1,N/A
"December 11, 2017",Pennsylvania,Aliquippa,"500 block of Independence Rd",0,1,N/A
"December 10, 2017",Iowa,"Iowa City","Prairie du Chien Rd NE and 320th St NE",0,1,N/A
"December 9, 2017",Kentucky,Garrison,"Bill Chain Rd",0,1,N/A
"December 9, 2017",Louisiana,Plaquemine,N/A,0,1,N/A
"December 7, 2017",Mississippi,Greenville,"230 South Clay Street",0,1,N/A
"December 7, 2017","New Jersey",Woodbine,"Cape May Ave",0,1,N/A
"December 6, 2017",Missouri,Independence,"S Willis Ave and W Maple Ave",0,1,N/A
"December 5, 2017",Virginia,Hampton,"2500 block of Laguard Dr",0,1,N/A
"December 5, 2017",Iowa,Nodaway,"Denver Ave and 110th St",0,1,N/A
"November 28, 2017",Nebraska,Greenwood,N/A,0,1,N/A
"November 28, 2017",Texas,Houston,"6300 block of Feather Creek Dr",0,1,N/A
"November 26, 2017","West Virginia","Saint Albans","132 Miracle Dr",0,1,N/A
"November 26, 2017","New York",Middletown,"1 Galleria Dr",0,2,N/A
"November 24, 2017",Tennessee,"Memphis (Hickory Hill)","3900 block of Germantown Road",0,1,N/A
"November 22, 2017","North Carolina",Woodleaf,"2700 Block of Needmore Rd",0,1,N/A
"November 22, 2017",Georgia,Macon,"Roy St",0,1,N/A
"November 21, 2017",Georgia,Macon,"4006 Mercer University Dr",0,1,N/A
"November 21, 2017",Ohio,Cleveland,"E 115th St",0,1,N/A
"November 21, 2017",Georgia,Augusta,"2016 Central Ave",0,1,N/A
"November 20, 2017","West Virginia","Braxton (county)",N/A,0,1,N/A
"November 19, 2017",Alabama,Birmingham,"Gaywood Cir and Montclair Rd",0,1,N/A
"November 15, 2017",Missouri,Richwoods,N/A,0,1,N/A
"November 13, 2017",Arizona,Tolleson,"S 99th Ave and W Lower Buckeye Rd",0,1,N/A
"November 12, 2017",Idaho,Roberts,"Bassett Road",0,2,N/A
"November 12, 2017",Georgia,Atlanta,"1944  Piedmont Cir NE",0,2,N/A
"November 11, 2017",Wisconsin,"La Crosse (Lacrosse)","3749 Mormon Coulee Rd",0,1,N/A
"November 9, 2017",Georgia,Atlanta,"6015 Feldwood Rd",0,2,N/A
"November 9, 2017",Oregon,"Beaverton (Aloha)","21500 block of SW Peggy Ct",0,1,N/A
"November 7, 2017",Tennessee,Knoxville,"Montvue and West Town Way",0,1,N/A
"November 5, 2017","West Virginia",Fairmont,"Guffy St",0,1,N/A
"November 3, 2017",Michigan,Lansing,"626 Marshall St",0,1,N/A
"November 3, 2017",Ohio,Columbus,"1600 block of Walsh Ave",0,1,N/A
"October 30, 2017",Colorado,Longmont,"100 block of Sunset St",0,1,N/A
"October 29, 2017",Florida,Cocoa,"600 block of S Ridgewood Dr",0,1,N/A
"October 28, 2017","New York",Utica,"1400 block of Seymour Ave",0,1,N/A
"October 28, 2017",Minnesota,Fisher,N/A,0,1,N/A
"October 26, 2017",Illinois,Chicago,"7900 S May St",0,1,N/A
"October 25, 2017",Wisconsin,"Sheboygan (county)",N/A,0,1,N/A
"October 25, 2017",Illinois,Chicago,"7700 S Peoria St",0,1,N/A
"October 23, 2017",Utah,"Saint George","Rome Dr",0,1,N/A
"October 22, 2017","North Carolina",Denver,"7600 block of Campground Rd",0,1,N/A
"October 22, 2017",Tennessee,Springfield,"3555 Tom Austin Blvd",0,1,N/A
"October 22, 2017",Oklahoma,Enid,"400 block of S Buchanan St",0,1,N/A
"October 21, 2017",Maryland,Elkridge,"6400 block of Greenfield Rd",0,1,N/A
"October 18, 2017",Utah,"Summit (county)",N/A,0,1,N/A
"October 18, 2017",Tennessee,Memphis,"Rose Creek Cove",0,1,N/A
"October 18, 2017",Mississippi,Pontotoc,"Rental St",0,1,N/A
"October 17, 2017",Texas,Houston,"8000 block of Boone St",0,1,N/A
"October 16, 2017",Mississippi,Mccomb,"Howe Street",0,1,N/A
"October 15, 2017",Minnesota,Trimont,N/A,0,1,N/A
"October 14, 2017",Arkansas,Blytheville,"1100 block of Willow Street",0,1,N/A
"October 13, 2017",Tennessee,Nashville,"1600 block of Hillside Ave",0,1,N/A
"October 11, 2017",Tennessee,Sevierville,"Nichols St",0,1,N/A
"October 11, 2017",Florida,"Lehigh Acres","1200 Block of Damen St",0,1,N/A
"October 11, 2017",Wisconsin,Milwaukee,"1500 block of S Pearl St",0,1,N/A
"October 9, 2017",Delaware,"New Castle","1 block of Briarcliff Dr",0,1,N/A
"October 7, 2017",Illinois,Bloomington,"1400 block of N Lee St",0,1,N/A
"October 7, 2017","New Mexico","Las Cruces","9200 block of El Centro Blvd",0,1,N/A
"October 4, 2017",Tennessee,Cookeville,"Southmeade Dr and Burgess Falls Rd",0,1,N/A
"October 1, 2017",Michigan,"Grass Lake","200 block of Grass Lake Rd",0,1,N/A
"October 1, 2017",Michigan,"White Lake","6200 block of Grass Lake Rd",0,1,N/A
"September 30, 2017",Mississippi,"Horn Lake","Longwood Cove",1,1,N/A
"September 30, 2017",Florida,Deltona,"Shingler Terrace",0,1,N/A
"September 29, 2017",Connecticut,Stamford,"Bedford St",0,1,N/A
"September 23, 2017",Minnesota,Alexandria,N/A,0,1,N/A
"September 22, 2017","North Carolina",Raleigh,"5900 block of Farmwell Rd",0,1,N/A
"September 22, 2017","North Carolina",Falkland,"S Main St and NC 43",0,1,N/A
"September 22, 2017",Florida,Umatilla,"19200 CR 250",0,1,N/A
"September 21, 2017",Idaho,Weiser,N/A,0,1,N/A
"September 17, 2017",Georgia,Macon,N/A,0,1,N/A
"September 16, 2017","North Carolina",Durham,"2111 Ashe St",0,1,N/A
"September 16, 2017",Texas,Saratoga,"Highway 770 North",0,1,N/A
"September 15, 2017",Mississippi,Magnolia,"6121 Magnolia Progress Rd",0,1,N/A
"September 12, 2017",Washington,Everett,"1800 block of 13th St",0,1,N/A
"September 10, 2017",Missouri,"Bragg City","2nd St",0,1,N/A
"September 9, 2017",Kansas,Lawrence,"25687 Alexander Road",0,1,N/A
"September 8, 2017",Mississippi,Greenville,"1100 block of Wanda Dr",0,1,N/A
"September 4, 2017",Pennsylvania,Pittsburgh,"825 Freeport Rd",0,1,N/A
"September 4, 2017",Mississippi,Gulfport,"Hwy 49",0,1,N/A
"September 2, 2017",Louisiana,"Saint Martinville (Parks)","5300 block of Bridge Street Hwy",0,1,N/A
"September 2, 2017",Colorado,"Aurora (Centennial)","E Dorado Ave and S Malaya Ct",0,1,N/A
"September 1, 2017",Mississippi,Tupelo,"508 Lumpkin Ave",0,1,N/A
"September 1, 2017","South Carolina","North Charleston","1087 E Montague Ave",0,1,N/A
"September 1, 2017",Georgia,"Atlanta (Chamblee)","2901 Clairmont Rd NE",0,1,N/A
"August 31, 2017",Florida,Jacksonville,"12000 Block of McCormick Rd",0,1,N/A
"August 26, 2017",Ohio,Middletown,"710 Kensington Ct",0,1,N/A
"August 25, 2017",Georgia,Savannah,"800 block of W. 35th Street",0,1,N/A
"August 25, 2017",Missouri,Springfield,"2100 block of N Nettleton Ave",0,1,N/A
"August 21, 2017",Georgia,Clem,N/A,0,1,N/A
"August 20, 2017",Mississippi,Gulfport,"19th St and 42nd Ave",0,1,N/A
"August 19, 2017",Ohio,Cleveland,"100 Public Sq",0,1,N/A
"August 19, 2017",Missouri,"Kansas City","5100 block of Eastern Ave",0,1,N/A
"August 14, 2017","South Carolina","North Charleston","3200 block of Dublin Road",0,1,N/A
"August 11, 2017",Colorado,Greeley,"100 block of N 21st Ave",0,1,N/A
"August 10, 2017",Virginia,Roanoke,"1118 Gilmer Ave NW",0,1,N/A
"August 10, 2017",Texas,"Missouri City","10806 Cobblecreek Way",0,1,N/A
"August 8, 2017",Pennsylvania,Philadelphia,"1200 block of W Tioga St",0,1,N/A
"August 8, 2017",Florida,Palatka,"Green Dr",0,1,N/A
"August 7, 2017",Pennsylvania,Newport,"500 block of Market St",0,1,N/A
"August 6, 2017",Florida,"Port Saint Lucie","600 block of SW Homeland Rd",0,1,N/A
"August 6, 2017",Texas,"New Braunfels","400 block of E San Antonio St",0,2,N/A
"August 2, 2017",Ohio,Columbus,"2359 Grasmere Ave",0,1,N/A
"July 31, 2017","South Carolina","Myrtle Beach","3400 block of Hitchcock Way",0,1,N/A
"July 26, 2017",Iowa,Urbandale,"9100 block of Willard Ct",0,1,N/A
"July 24, 2017",Montana,"Gallatin (county)",N/A,0,1,N/A
"July 23, 2017",California,Escondido,"1500 block of E Mission St",0,2,N/A
"July 22, 2017",Texas,Dallas,"3100 block of Stag Road",0,1,N/A
"July 21, 2017",Texas,Houston,"200 block of Baker",0,1,N/A
"July 19, 2017",Kentucky,Nicholasville,"US-68 and Brannon Rd",0,1,N/A
"July 12, 2017","New Jersey",Paulsboro,"1100 Block of Spruce St",0,1,N/A
"July 11, 2017","South Carolina",Ridgeland,"Village Dr",0,1,N/A
"July 7, 2017",Tennessee,Nashville,"3000 block of Clifton Ave",0,1,N/A
"July 7, 2017",Florida,Macclenny,"504 Quail Lane",0,1,N/A
"July 6, 2017",Georgia,Atlanta,"900 block of Confederate Ave SE",0,1,N/A
"July 5, 2017",Tennessee,Memphis,"Sandpiper Ave",0,1,N/A
"July 5, 2017",Louisiana,"Baton Rouge","Jester Avenue",0,1,N/A
"July 4, 2017","New Jersey",Elizabeth,"800 Block of Monroe Ave",0,1,N/A
"July 2, 2017",Idaho,Meridian,"4000 block of W Ustick Rd",0,1,N/A
"July 2, 2017",Arkansas,"Little Rock","W 32nd St and Irving Dr",0,2,N/A
"July 1, 2017",Wisconsin,"New London",N/A,0,1,N/A
"June 30, 2017",Ohio,Dayton,"Brenner Avenue",0,1,N/A
"June 30, 2017",Illinois,Chicago,"3200 block of West Madison",0,1,N/A
"June 29, 2017",Wisconsin,"Bear Creek",N/A,0,1,N/A
"June 29, 2017","South Carolina",Ridgeville,"200 block of Varner Ridge Lane",0,1,N/A
"June 28, 2017",Illinois,Chicago,"11500 Block of S Normal",0,1,N/A
"June 28, 2017",Arizona,Phoenix,"S 91st Ave and W Lower Buckeye Rd",0,1,N/A
"June 28, 2017",Indiana,"Fort Wayne","3400 block of Holton Avenue",0,1,N/A
"June 26, 2017",Texas,Houston,"Amos St",0,1,N/A
"June 26, 2017",Alabama,Montgomery,"1714 Coral Ln",1,1,N/A
"June 24, 2017",Ohio,Columbus,"6421 E Broad St W",0,1,N/A
"June 23, 2017",Kentucky,Lexington,"1000 block of Russell Cave",0,1,N/A
"June 23, 2017",Tennessee,Memphis,"Yellowood Road",0,1,N/A
"June 22, 2017",Mississippi,Ridgeland,"959 Lake Harbour Dr",0,1,N/A
"June 22, 2017","South Carolina",Florence,"1411 E Old Marion Hwy",0,1,N/A
"June 21, 2017",Tennessee,Memphis,"W Byfield Dr",0,1,N/A
"June 21, 2017",Michigan,Detroit,"Cheyenne St",0,1,N/A
"June 18, 2017","North Carolina",Asheboro,"619 City View St",0,1,N/A
"June 18, 2017",California,Rosamond,N/A,0,1,N/A
"June 17, 2017",Oklahoma,Tulsa,"5400 block of North Hartford",1,2,N/A
"June 17, 2017",Michigan,Taylor,"9633 Telegraph Rd",0,1,N/A
"June 16, 2017",Virginia,Fredericksburg,"Altoona Dr",0,1,N/A
"June 16, 2017",Tennessee,Memphis,"1000 block of N McNeil St",0,1,N/A
"June 16, 2017","South Carolina",Jonesville,"1180 SR S-44-240",0,1,N/A
"June 15, 2017","South Carolina","North Charleston","2000 block of Arbutus Ave",0,1,N/A
"June 13, 2017","North Carolina",Durham,"300 block of Kilarney Dr",0,1,N/A
"June 13, 2017",Michigan,Lansing,"900 Block of Walnut St",0,1,N/A
"June 5, 2017",Texas,"San Angelo (Grape Creek)","9900 block of Raccoon Road",0,1,N/A
"June 3, 2017",Michigan,Jackson,"S Milwaukee St and Moore St",0,1,N/A
