"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 6, 2018",Vermont,Colchester,"Munson Flats",0,1,N/A
"December 5, 2018",Mississippi,Nettleton,"30013 Clay Hill Rd",0,1,N/A
"December 5, 2018",Pennsylvania,Butler,"101 Clearview Cir",0,1,N/A
"December 4, 2018",Kansas,Riley,"7500 block of Crooked Creek Rd",0,1,N/A
"December 4, 2018",Missouri,"Mount Vernon","500 W Mt Vernon Blvd",0,1,N/A
"December 4, 2018",Texas,Humble,"4000 block of Wintergreen Dr",0,1,N/A
"December 4, 2018",Florida,Palmetto,"1200 17th St W",0,1,N/A
"December 4, 2018",Kansas,Wichita,"E 21st St N and Main St",0,2,N/A
"December 3, 2018","West Virginia",Elkview,"1200 block of Walgrove Rd",0,1,N/A
"December 3, 2018",Oklahoma,Tulsa,"200 block of S 73rd E Ave",0,1,N/A
"December 3, 2018",Texas,"San Antonio","4100 block of Sunrise Crest",0,1,N/A
"December 2, 2018",Arizona,Chandler,"Elliott Rd and Arizona Ave",0,1,N/A
"December 2, 2018",Tennessee,Germantown,"8000 block of Somerset Ln",0,1,N/A
"December 2, 2018",Louisiana,"New Orleans","880 Port of New Orleans Pl",0,1,N/A
"December 1, 2018","New York",Shortsville,N/A,0,1,N/A
"December 1, 2018",Louisiana,Shreveport,"4700 block of Hilry Huckaby III Ave",0,1,N/A
"November 30, 2018",Texas,Tyler,"11100 block of Spur 248",0,1,N/A
"November 30, 2018",Ohio,Marion,"800 block of Davids St",0,1,N/A
"November 29, 2018",Nevada,"North Las Vegas","E Carey Ave and Belmont St",0,1,N/A
"November 28, 2018","North Carolina",Greensboro,"510 Houston St",0,1,N/A
"November 28, 2018",Florida,Ocala,N/A,0,1,N/A
"November 27, 2018",Ohio,Sandusky,N/A,0,1,N/A
"November 27, 2018",Pennsylvania,Robertsdale,N/A,0,1,N/A
"November 27, 2018",Arizona,Buckeye,"1060 S Watson Rd",0,1,N/A
"November 26, 2018",Colorado,"Colorado Springs","1000 block of Zamora Cir",0,1,N/A
"November 25, 2018",Idaho,Boise,"4300 block of Rose Hill St",0,1,N/A
"November 25, 2018",Pennsylvania,Johnstown,"Coleman Ave",0,1,N/A
"November 24, 2018",Louisiana,Gonzales,N/A,0,1,N/A
"November 24, 2018",Iowa,Burlington,"109 S Sixth St",0,1,N/A
"November 24, 2018",Tennessee,Knoxville,"Cunningham Rd",0,1,N/A
"November 24, 2018","North Dakota",Bismarck,N/A,0,1,N/A
"November 24, 2018","South Carolina",Greenwood,"Baldwin Ave",0,1,N/A
"November 24, 2018",Florida,"Cape Coral","3600 block of Country Club Blvd",0,1,N/A
"November 23, 2018",Pennsylvania,Cardale,"5th St",0,1,N/A
"November 23, 2018",Utah,Corinne,"290 S 6800 W",0,1,N/A
"November 22, 2018",Oklahoma,"Oklahoma City","600 block of SW 43rd St",0,1,N/A
"November 22, 2018",Tennessee,Knoxville,N/A,0,1,N/A
"November 22, 2018",Connecticut,Hartford,"97 Van Block Ave",0,1,N/A
"November 21, 2018",Tennessee,Ooltewah,"9700 block of Snow Hill Rd",0,1,N/A
"November 21, 2018",Kansas,Wichita,N/A,0,1,N/A
"November 20, 2018","New York",Valatie,N/A,0,1,N/A
"November 20, 2018","New York","Cortlandt Manor","183 Watch Hill Rd",0,1,N/A
"November 20, 2018",Vermont,Stowe,"Brownsville Rd and Mccall Pasture Rd",0,1,N/A
"November 20, 2018",Virginia,Portsmouth,"4841 Clifford St",0,1,N/A
"November 19, 2018",Kentucky,Glasgow,"Cedar St",0,1,N/A
"November 19, 2018","South Carolina",Gaffney,"Pooles Rd and High Point Rd",0,1,N/A
"November 19, 2018",Florida,Ocala,"Teak Loop",0,1,N/A
"November 19, 2018",Missouri,"Benton (county)",N/A,0,1,N/A
"November 19, 2018",Florida,Tallahassee,N/A,0,1,N/A
"November 19, 2018",Massachusetts,Walpole,"MA 1A and Kendall St",0,1,N/A
"November 18, 2018",California,Modesto,"1900 block of Chelsea Ave",0,1,N/A
"November 17, 2018",Wyoming,Gillette,N/A,0,1,N/A
"November 17, 2018",Missouri,Newburg,"Co Rd 7360",0,1,N/A
"November 17, 2018",Oklahoma,Eufaula,N/A,0,1,N/A
"November 17, 2018",Florida,Deland,"900 block of Sherwood Dr",0,1,N/A
"November 17, 2018",Maine,Topsham,"Cathance Rd",0,1,N/A
"November 16, 2018",Texas,"San Antonio","Blanco Rd and Fredericksburg Rd",0,1,N/A
"November 15, 2018",Minnesota,Bemidji,N/A,0,1,N/A
"November 15, 2018",Ohio,Springfield,"400 block of S Clairmount Ave",0,1,N/A
"November 15, 2018",Michigan,Detroit,N/A,0,1,N/A
"November 14, 2018",Florida,Tampa,"Columbus Dr and 50th St",0,1,N/A
"November 14, 2018",Missouri,Fulton,"State Rd F",0,1,N/A
"November 13, 2018",Kentucky,Blaine,"KY 201 and CR 1274",0,2,N/A
"November 13, 2018",Oregon,"Lincoln City","900 block of SE 32nd St",0,1,N/A
"November 12, 2018",Louisiana,Slidell,N/A,0,1,N/A
"November 12, 2018",Texas,"Fort Worth","4700 block of Cattlebaron Rd",0,1,N/A
"November 11, 2018",Pennsylvania,Allentown,"4th St and Liberty St",0,1,N/A
"November 11, 2018",Kansas,Wichita,"9200 block of E Harry St",0,2,N/A
"November 11, 2018",Pennsylvania,Carnegie,"500 block of Magazine St",0,1,N/A
"November 11, 2018",Vermont,Danby,"US 7",0,1,N/A
"November 10, 2018",Nevada,"Las Vegas","2700 block of W Wigwam Ave",1,1,N/A
"November 10, 2018",Nevada,"North Las Vegas","917 Emerald Stone Ave",0,1,N/A
"November 10, 2018",Ohio,Akron,"180 E Exchange St",0,1,N/A
"November 10, 2018",Florida,"Spring Hill","1362 Commercial Way",0,1,N/A
"November 10, 2018",Indiana,Aurora,N/A,0,2,N/A
"November 10, 2018",Kentucky,"Whitley City","Day Ridge Road",0,1,N/A
"November 9, 2018",Illinois,Chicago,"1600 block of W 47th St",0,1,N/A
"November 9, 2018",Missouri,Springfield,"800 block of S Crutcher Ave",0,1,N/A
"November 6, 2018",Idaho,Sandpoint,"2500 block of US-2",0,1,N/A
"November 5, 2018",Nebraska,Omaha,"Florence Blvd and Minne Lusa Blvd",0,1,N/A
"November 5, 2018",Maryland,Hollywood,"McIntosh Rd",0,1,N/A
"November 4, 2018","New Jersey","Atlantic City","1400 block of Adams Ct",0,1,N/A
"November 4, 2018",Florida,Mims,"Deering Pkwy",0,1,N/A
"November 3, 2018",Alabama,"Mc Calla","21026 Agnes Dr",0,1,N/A
"November 3, 2018",Washington,Aberdeen,"1100 block of Arthur St",0,1,N/A
"November 3, 2018",Georgia,Macon,"550 Gray Hwy",0,1,N/A
"November 3, 2018",Oklahoma,Lawton,"2100 block of NW Smith Ave",0,1,N/A
"November 3, 2018",Georgia,Savannah,"5724 Ogeechee Rd",0,1,N/A
"November 1, 2018","District of Columbia",Washington,"2400 block of 18th St NW",0,1,N/A
"October 30, 2018",Illinois,Rockford,"2200 block of 18th Ave",0,1,N/A
"October 30, 2018",Montana,Billings,"Wicks Ln and St Andrews Dr",0,1,N/A
"October 30, 2018",Illinois,Chicago,"3200 block of W Argyle St",0,1,N/A
"October 30, 2018","North Carolina",Waynesville,N/A,0,1,N/A
"October 30, 2018",Connecticut,Bridgeport,"100 block of Huntington Turnpike",0,1,N/A
"October 30, 2018",Nebraska,Louisville,"36795 Mahoney Rd",0,1,N/A
"October 29, 2018",Indiana,Indianapolis,"10900 block of Cedar Pine Dr",0,1,N/A
"October 29, 2018",Minnesota,Morgan,N/A,0,1,N/A
"October 28, 2018",Indiana,"South Bend","1100 block of E Mishawaka Ave",0,1,N/A
"October 28, 2018","New York","Rome (Lee)","Streun Rd",0,1,N/A
"October 27, 2018",Indiana,Evansville,"1353 Savannah Dr",0,1,N/A
"October 27, 2018",Texas,Killeen,"2400 block of Marlin Dr",0,1,N/A
"October 27, 2018",Colorado,"Colorado Springs","2600 block of Pony Tracks Dr",0,1,N/A
"October 26, 2018",Texas,Brazoria,"1000 block of County Rd 678",0,1,N/A
"October 26, 2018",Florida,"Boynton Beach","1900 NE 1st Way",0,1,N/A
"October 26, 2018",Virginia,Richmond,"2700 block of Pompey Springs Rd",0,1,N/A
"October 25, 2018",Georgia,Springfield,N/A,0,1,N/A
"October 25, 2018","New Mexico","Las Cruces","County Rd B4 and County Rd B5",0,1,N/A
"October 25, 2018",Montana,Missoula,"1700 block of Margaret St",0,1,N/A
"October 25, 2018",Nevada,"Las Vegas","2600 block of Spider Cactus Ct",0,1,N/A
"October 24, 2018","New York","Buffalo (Cheektowaga)","Ellwood Pl",0,1,N/A
"October 23, 2018",Ohio,Toledo,"Varland Ave",0,2,N/A
"October 23, 2018",Virginia,Norfolk,"1530 Gilbert St",0,1,N/A
"October 22, 2018",Kentucky,Maysville,"Ashwood Dr",0,1,N/A
"October 20, 2018",Nebraska,Omaha,"14 N 35th St",0,1,N/A
"October 20, 2018","New York","Staten Island",N/A,0,1,N/A
"October 20, 2018",Wisconsin,"Fond Du Lac","400 block of Forest Ave",0,1,N/A
"October 20, 2018",Nebraska,Omaha,"15350 Shepard St",0,1,N/A
"October 19, 2018",Florida,Pensacola,"Palafox St and Government St",0,1,N/A
"October 19, 2018",Delaware,Wilmington,"900 block of Linden St",0,1,N/A
"October 18, 2018",California,Salinas,N/A,0,1,N/A
"October 18, 2018",Ohio,Dayton,"1600 Humphrey Ave",0,1,N/A
"October 18, 2018",Tennessee,Nashville,"Roosevelt Ave and Myatt Dr",0,1,N/A
"October 18, 2018",Kansas,Wichita,"N Seneca St and W Douglas Ave",0,1,N/A
"October 18, 2018",Wisconsin,Milwaukee,"3600 block of N 11th St",0,0,N/A
"October 18, 2018",Ohio,Cleveland,"2239 Forestdale Ave",0,2,N/A
"October 17, 2018",Tennessee,Memphis,"4647 Cotton Ln",0,1,N/A
"October 17, 2018",Mississippi,Biloxi,"765 Wells Dr",0,1,N/A
"October 16, 2018",Ohio,Warren,"2000 block of Feederle Ave SE",0,1,N/A
"October 15, 2018",Indiana,Marion,"4200 block of Creston Dr",0,1,N/A
"October 15, 2018","North Carolina",Shelby,"100 block of Blevins Dr",0,1,N/A
"October 15, 2018",Idaho,Harrison,"Lamb Rd and Bell Canyon Rd",0,1,N/A
"October 14, 2018",Georgia,Gainesville,"Maple St and Spring St SW",0,1,N/A
"October 14, 2018",Washington,Carbonado,"NF 310 and NF 7820",0,1,N/A
"October 13, 2018",Florida,Bradenton,N/A,0,1,N/A
"October 13, 2018",Indiana,Indianapolis,"4000 block of Moline Dr",0,1,N/A
"October 12, 2018",Georgia,Dalton,"727 McGhee Place",0,1,N/A
"October 12, 2018",Ohio,Cleveland,"Middlebrook Blvd",0,1,N/A
"October 11, 2018",Illinois,"Hoffman Estates","1300 block of Rosedale Ln",0,1,N/A
"October 11, 2018",Maine,"Portage (Portage Lake)",N/A,0,1,N/A
"October 11, 2018","New Jersey",Lakewood,"Center St and Dr Martin Luther King Dr",0,1,N/A
"October 11, 2018",Ohio,Columbus,"1800 block of E Long St",0,1,N/A
"October 11, 2018",Delaware,Wilmington,"1300 block of Lancaster Ave",0,1,N/A
"October 10, 2018",Tennessee,Memphis,"Channel 3 Dr",0,1,N/A
"October 10, 2018",Kentucky,Louisville,"1200 block of Liberty Ct",0,1,N/A
"October 9, 2018",Connecticut,Fairfield,"2075 Black Rock Turnpike",0,1,N/A
"October 9, 2018",Pennsylvania,Philadelphia,"4800 block of N 8th St",0,1,N/A
"October 9, 2018",Maine,Dixmont,"Moosehead Trail",0,1,N/A
"October 8, 2018",Maine,Wayne,"Richmond Mills Rd",0,1,N/A
"October 7, 2018","New York",Rochester,N/A,0,1,N/A
"October 6, 2018","New York",Rochester,N/A,0,1,N/A
"October 6, 2018",Massachusetts,Orleans,"5 Namskaket Rd",0,1,N/A
"October 4, 2018",Minnesota,Minneapolis,"1400 block of Newton Ave N",0,1,N/A
"October 4, 2018",Virginia,Richmond,"6020 W Broad St",0,1,N/A
"October 4, 2018",Tennessee,Henderson,"Cedarhurst Dr",0,1,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr and Ashcroft Dr",0,1,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr",0,1,N/A
"October 3, 2018",Ohio,"Dayton (Huber Heights)","6600 block of Pegwood Ct",0,1,N/A
"October 1, 2018",Alabama,Opp,N/A,0,1,N/A
"October 1, 2018",Ohio,Buffalo,"Kenyon Ave",0,1,N/A
"September 30, 2018",Iowa,"Des Moines","Army Post Rd",0,1,N/A
"September 30, 2018",Tennessee,Memphis,"800 block of N Highland St",1,1,N/A
"September 30, 2018",Texas,"Fort Worth","5100 block of Mountain Springs Tr",0,2,N/A
"September 30, 2018",Wisconsin,"Clear Lake",N/A,0,1,N/A
"September 30, 2018",Ohio,Toledo,"3800 block of Hoiles Ave",0,1,N/A
"September 29, 2018",Texas,"San Antonio","6300 block of Hazel Valley Dr",0,1,N/A
"September 28, 2018",Wisconsin,"La Crosse","100 block of 7th St S",0,2,N/A
"September 28, 2018",Georgia,Macon,"Hillcrest Ave",0,1,N/A
"September 28, 2018",Arizona,Phoenix,"3806 W Greenway Rd",0,1,N/A
"September 28, 2018",Illinois,Rockford,"1000 block of Lincoln Ave",0,1,N/A
"September 27, 2018","South Carolina","Charleston (James Island)","1800 block of Grimball Rd",0,1,N/A
"September 26, 2018",Pennsylvania,Weatherly,"300 block of 2nd St",0,1,N/A
"September 25, 2018",Illinois,Springfield,N/A,0,1,N/A
"September 25, 2018",Tennessee,Memphis,"5100 block of Belfast Dr",0,2,N/A
"September 25, 2018",Colorado,Berthoud,"2500 block of Clayton Pl",0,1,N/A
"September 25, 2018",Florida,Miami,"NW 12th Ave and 66th St",0,1,N/A
"September 24, 2018",Illinois,Quincy,"400 block of W Washington St",0,1,N/A
"September 24, 2018",Kansas,Wichita,"1400 block of E Pike St",0,1,N/A
"September 24, 2018",Illinois,Mendon,"400 block of W Washington St",0,1,N/A
"September 23, 2018",Kansas,"Shawnee (Merriam)","Farley Ct and W 52nd St",0,1,N/A
"September 22, 2018",Kentucky,"Water Valley",N/A,0,1,N/A
"September 22, 2018",Alaska,Juneau,"5800 block of Glacier Hwy",0,1,N/A
"September 22, 2018",Missouri,"Saint Louis","7700 block of Alaska Ave",0,1,N/A
"September 20, 2018",Indiana,"South Bend","4300 block of Fellows St",0,1,N/A
"September 20, 2018",Indiana,"South Bend","700 block of S Main St",0,1,N/A
"September 19, 2018",Wisconsin,"Madison (Monona)","Pflaum Rd and Monona Dr",0,1,N/A
"September 19, 2018",Massachusetts,Monterey,"Main Rd and Stevens Lake",0,1,N/A
"September 18, 2018",Washington,Lakewood,"8100 block of 83rd Ave SW",0,1,N/A
"September 17, 2018",Missouri,Excello,N/A,0,1,N/A
"September 17, 2018",Alabama,Huntsville,"1321 Woodmont Ave SE",0,1,N/A
"September 17, 2018",Florida,"Palm Bay","Emerald Rd",0,1,N/A
"September 17, 2018",Virginia,"Virginia Beach","2200 block of Acorn Cove",0,1,N/A
"September 17, 2018",Missouri,Macon,N/A,0,1,N/A
"September 16, 2018","North Carolina",Durham,"Martin St",0,1,N/A
"September 16, 2018",Washington,Tacoma,"4911 Tacoma Mall Blvd",0,1,N/A
"September 15, 2018",Illinois,Freeport,N/A,0,1,N/A
"September 14, 2018",Arkansas,Jonesboro,"700 Parkview St",0,2,N/A
"September 14, 2018",Georgia,Atlanta,"1187 2nd St NW",0,1,N/A
"September 13, 2018",Texas,Houston,"Almeda Genoa Rd",0,1,N/A
"September 12, 2018","New Hampshire",Kingston,"Dorre Rd",0,1,N/A
"September 11, 2018",Texas,Tomball,"26100 block of La Fouche Dr",0,2,N/A
"September 11, 2018",Texas,"San Antonio","2715 Grosenbacher Rd",0,1,N/A
"September 10, 2018",Illinois,"East Saint Louis","700 block of N 37th St",0,1,N/A
"September 10, 2018",California,"Los Angeles","Langdon Ave and Roscoe Blvd",0,1,N/A
"September 9, 2018",Missouri,Sarcoxie,N/A,0,1,N/A
"September 8, 2018",Pennsylvania,"Chester (Upland)","3rd St and Main St",0,1,N/A
"September 8, 2018",California,"Grass Valley","15000 block of Niels Meade Dr",0,1,N/A
"September 8, 2018",Ohio,Cleveland,"Catherine Dr",0,1,N/A
"September 8, 2018",Arkansas,"North Little Rock","Poe St",0,1,N/A
"September 7, 2018","West Virginia","Saint Albans","400 block of Birch St",0,1,N/A
"September 7, 2018",Florida,"Lehigh Acres","4000 block of 3rd St SW",0,1,N/A
"September 6, 2018",Illinois,Springfield,"500 block of E Ridgely Ave",0,1,N/A
"September 5, 2018",Mississippi,Pearl,"3127 Greenfield Rd",0,1,N/A
"September 5, 2018","Rhode Island",Providence,"Westminster St and Fricker St",1,1,N/A
"September 3, 2018","North Carolina","Scotland (county)","W Laurel Hill Rd",0,1,N/A
"September 3, 2018",Tennessee,Whitwell,"N Pine St",0,2,N/A
"September 3, 2018","New York",Brooklyn,"Lincoln Place and Rochester Ave",0,1,N/A
"September 3, 2018",California,Bakersfield,"600 block of Berkshire Rd",0,1,N/A
"September 3, 2018",Florida,Tampa,"E 7th Ave",0,1,N/A
"September 3, 2018",California,"San Gabriel","Walnut Grove Ave and Las Tunas Dr",0,1,N/A
"September 3, 2018","New Jersey","Mantua (Mantua Township)","Tristram Cir",0,1,N/A
"September 2, 2018",Louisiana,"Baton Rouge","1443 Brightside Dr",0,1,N/A
"September 2, 2018",Michigan,Saginaw,"1800 block of Division St",0,1,N/A
"September 1, 2018",Iowa,Lehigh,"2800 block of Brushy Creek Dr",0,1,N/A
"September 1, 2018",Vermont,Westminster,"4668 US 5",0,1,N/A
"August 31, 2018",Alabama,Montgomery,"3500 block of Princeton Rd",0,2,N/A
"August 30, 2018",Alabama,Demopolis,"710 Hwy 80 E",0,1,N/A
"August 30, 2018",Minnesota,Chisholm,"6000 block of Minnesota Hwy 73",0,1,N/A
"August 30, 2018",Texas,Odessa,"11600 block of West April St",0,1,N/A
"August 30, 2018",Massachusetts,Haverhill,"88 Fountain St",0,1,N/A
"August 29, 2018","South Carolina",Seneca,"Carradine Rd and Shiloh Rd",0,1,N/A
"August 29, 2018",Kansas,Wichita,"3700 block of W Angel St",0,1,N/A
"August 29, 2018",Ohio,Cleveland,"E 77th St and Broadway Ave",0,2,N/A
"August 28, 2018",Illinois,Peoria,"5250 N Knoxville Ave",0,1,N/A
"August 28, 2018",Illinois,Chicago,"900 block of S Mason Ave",0,1,N/A
"August 28, 2018",Ohio,Cincinnati,"Dantzler Dr",0,1,N/A
"August 28, 2018",Georgia,Acworth,"Woodland Dr",0,1,N/A
"August 28, 2018",Mississippi,Columbus,"100 block of Lincoln Rd",0,1,N/A
"August 27, 2018",Virginia,Norfolk,"100 block of Glendale Ave",0,1,N/A
"August 27, 2018",Montana,Bozeman,"Wheat Drive",0,1,N/A
"August 26, 2018","West Virginia",Charleston,"1300 block of Renaissance Circle",0,1,N/A
"August 25, 2018",Alabama,Linden,"1751 W Cahaba Ave",0,1,N/A
"August 25, 2018","District of Columbia",Washington,"490 L St NW",0,1,N/A
"August 25, 2018",Iowa,Dubuque,"21st St and White St",0,1,N/A
"August 25, 2018",Florida,Marianna,"St Andrews St",0,1,N/A
"August 24, 2018","New York","De Ruyter (Deruyter)","2022 County Rd 12",1,1,N/A
"August 24, 2018",Kansas,Topeka,"1000 block of SW Mulvane St",0,2,N/A
"August 24, 2018",Texas,"San Angelo","Schroeder Ave",0,1,N/A
"August 23, 2018","New Mexico",Albuquerque,"2200 Sunport Blvd",0,1,N/A
"August 21, 2018","North Carolina",Charlotte,"4115 Glenwood Dr",0,2,N/A
"August 21, 2018","West Virginia",Iaeger,N/A,0,1,N/A
"August 21, 2018",Michigan,Detroit,"9621 Artesian St",0,1,N/A
"August 21, 2018","New Mexico","Santa Fe",N/A,0,2,N/A
"August 21, 2018",Tennessee,Covington,"Holmes Rd",0,1,N/A
"August 19, 2018",Louisiana,Eunice,"W Maple Ave",0,1,N/A
"August 19, 2018","North Carolina","Winston Salem (Winston-salem)","1500 block of Gholson Ave",0,1,N/A
"August 19, 2018",Iowa,Clive,"11428 Forrest Ave",0,1,N/A
"August 18, 2018",Mississippi,Columbus,"13th St N and 9th Ave",0,1,N/A
"August 17, 2018","South Carolina",Cordova,N/A,0,1,N/A
"August 17, 2018","South Carolina",Lexington,"1201 W Main St",0,1,N/A
"August 17, 2018",Tennessee,"Pigeon Forge",N/A,0,1,N/A
"August 17, 2018",Virginia,Richmond,"200 block of Engleside Cir",0,1,N/A
"August 17, 2018",Alaska,Dillingham,"Snake Lake Rd",0,1,N/A
"August 17, 2018",Florida,Ocala,N/A,0,1,N/A
"August 16, 2018","West Virginia",Grafton,"W Main St",0,1,N/A
"August 16, 2018","New Hampshire",Manchester,"39 Walnut St",0,1,N/A
"August 16, 2018",California,Stockton,"600 block of Astor Drive",0,1,N/A
"August 15, 2018",Washington,Bremerton,"West Belfair Valley Rd",0,1,N/A
"August 13, 2018",Michigan,Detroit,"12000 block of Laing",0,1,N/A
"August 13, 2018",Ohio,Toledo,"3700 block of N Erie St",0,2,N/A
"August 13, 2018",Ohio,Toledo,"200 block of Van Buren Ave",0,1,N/A
"August 13, 2018",Texas,Nome,"US-90 and TX-326",0,1,N/A
"August 12, 2018","South Carolina",Beaufort,"2448 Boundary St",0,1,N/A
"August 12, 2018",Ohio,Caldwell,"Devolld Cemetery Rd",0,0,N/A
"August 12, 2018",Ohio,Caldwell,"Devolld Cemetery R",0,1,N/A
"August 12, 2018",Illinois,Chicago,"7200 block of S Coles Ave",0,1,N/A
"August 12, 2018",Massachusetts,Windsor,N/A,0,1,N/A
"August 11, 2018",Michigan,Jackson,"E Michigan Ave and Cooper St",0,1,N/A
"August 10, 2018",Wisconsin,Milwaukee,"5300 block of N 63rd St",0,1,N/A
"August 10, 2018",Texas,"San Antonio",N/A,0,1,N/A
"August 10, 2018",Iowa,"Des Moines","2100 block of York St",0,1,N/A
"August 9, 2018",California,"Red Bluff","1600 block of Elva Avenue",0,1,N/A
"August 9, 2018",California,Salinas,"East Lake St and Soledad St",0,1,N/A
"August 9, 2018",Ohio,Lancaster,N/A,0,1,N/A
"August 9, 2018","North Dakota",Williston,"2300 block of 17th Ave W",0,1,N/A
"August 8, 2018",Texas,"San Antonio","2300 block of W Salinas",0,1,N/A
"August 8, 2018","North Carolina","Forest City","175 Lakeview Dr",1,1,N/A
"August 7, 2018",Tennessee,Murfreesboro,"915 N Thompson Ln",0,2,N/A
"August 7, 2018",Michigan,Detroit,"16000 block of Trinity St",0,1,N/A
"August 5, 2018",Mississippi,Hattiesburg,"3800 block of W 4th St",0,1,N/A
"August 5, 2018",Washington,"Seattle (Burien)","14600 block of 1st Ave S",0,3,N/A
"August 4, 2018","New Jersey","Fair Lawn","Rose Pl",0,2,N/A
"August 4, 2018","South Carolina",Columbia,"206 Jamil Rd",0,1,N/A
"August 4, 2018",California,Carlsbad,"5500 block of Whitman Way",1,2,N/A
"August 4, 2018",Louisiana,Shreveport,"2700 block of Murray St",0,2,N/A
"August 4, 2018",Pennsylvania,Landisburg,"Polecat Rd",0,1,N/A
"August 3, 2018",Oklahoma,Stroud,"351126 E 860 Rd",0,1,N/A
"August 3, 2018",Indiana,Indianapolis,"2400 block of Coyner Ave",0,1,N/A
